area,count,maxPage
金虹桥,1981,1
马桥,338,1
梅陇春申,4670,1
华漕,3001,1
七宝,4426,1
吴泾,2494,1
莘庄,8035,1
颛桥,4118,1
浦江镇,14055,1
航华,1729,1
金汇龙柏,3413,1
静安新城,1485,1
古美罗阳,4592,1
江川,5204,1
北桥,0,1
漕宝路,0,1
老闵行,0,1
七莘路,0,1
诸翟,0,1
龙华,3387,1
长桥,1740,1
华东理工,1874,1
华泾,2575,1
建国西路,19,1
康健,4245,1
田林,3585,1
万体馆,1645,1
徐汇滨江,818,1
徐家汇,2033,1
植物园,1354,1
南站,1054,1
大木桥,2703,1
淮海北,395,1
淮海南,1332,1
漕河泾,0,1
复兴中路,0,1
湖南路,3,1
衡山路,0,1
淮海西路,0,1
凌云路,0,1
肇嘉浜路,0,1
北新泾,3608,1
天山,2160,1
古北,1396,1
虹桥,1411,1
西郊,2434,1
仙霞,3563,1
新华路,3230,1
镇宁路,1067,1
中山公园,3895,1
动物园,0,1
江苏路地铁,0,1
周家桥,0,1
不夜城,1218,1
大宁,4821,1
彭浦,10643,1
西藏北路,2624,1
曹家渡,2526,1
江宁路,1537,1
静安寺,453,1
南京西路,1513,1
阳城,1145,1
永和,735,1
闸北公园,2415,1
北郊站,0,1
大悦城,15,1
新客站,1075,1
北京西路,0,1
宝山路,0,1
场中路,0,1
天目西路,0,1
汶水路,1,1
西康路,0,1
新闸路,0,1
延长路,1,1
芷江西路,0,1
北外滩,1364,1
临平,1451,1
江湾凉城,7578,1
曲阳,4873,1
四川北路,1422,1
四平路,1034,1
广中,567,1
大柏树,0,1
海宁路,0,1
和平公园,0,1
鲁迅公园,0,1
提篮桥,0,1
打浦桥,1775,1
淮海中路,17,1
新天地,287,1
董家渡,1162,1
老西门,717,1
南京东路,280,1
人民广场,312,1
世博滨江,477,1
豫园,539,1
黄浦滨江,621,1
蓬莱公园,1706,1
五里桥,22,1
斜土路,2369,1
北苏州河,375,1
陕西路,393,1
外滩,202,1
半淞园路,0,1
复兴公园,0,1
鲁班路,0,1
南浦大桥,0,1
西藏南路,0,1
鞍山,3329,1
东外滩,3241,1
黄兴公园,5019,1
控江,5176,1
五角场,3405,1
新江湾城,2416,1
中原,8804,1
江浦路,2201,1
长阳路,0,1
平凉路,0,1
周家嘴路,1,1
杨浦大桥,0,1
杨浦公园/延吉,0,1
运光/复旦,0,1
长风,1626,1
长征,5061,1
光新,3396,1
桃浦,8547,1
武宁,2905,1
万里,1908,1
真如,3159,1
长寿路,1815,1
曹杨,2365,1
甘泉宜川,6656,1
真光,26,1
中远两湾城,1332,1
金沙江路,0,1
李子园,0,1
华东师大,0,1
丰庄,3045,1
江桥,8305,1
嘉定新城,4133,1
南翔,4497,1
马陆,1375,1
安亭,3329,1
嘉定城区,5704,1
嘉定北部,2238,1
曹王,0,1
方泰镇,0,1
封浜,816,1
黄渡,0,1
华亭,0,1
菊园新区,0,1
娄塘,0,1
唐行,0,1
外冈,0,1
徐行,0,1
真新新村,0,1
朱桥,0,1
大华,4264,1
大场,711,1
顾村,8560,1
共康,4270,1
罗店,5333,1
罗泾,1415,1
上大,5127,1
月浦,4783,1
通河,1869,1
淞宝,9055,1
淞南,3806,1
杨行,4137,1
共富,1786,1
高境,1345,1
张庙,235,1
泗塘,1423,1
刘行,0,1
罗南,0,1
水产路,0,1
友谊路,0,1
徐泾,1932,1
朱家角,2197,1
赵巷,946,1
重固,518,1
白鹤,1602,1
青浦城区,9666,1
华新,1812,1
沪青平,1773,1
金泽,0,1
练塘,0,1
青浦工业园区,0,1
青浦新城,74,1
香花桥,0,1
奉城,1662,1
南桥,7143,1
海湾,1251,1
庄行,147,1
柘林,859,1
西渡,2434,1
奉贤其他,921,1
海湾旅游区,1300,1
金汇镇,792,1
四团,520,1
奉贤金汇,40,1
青村,4,1
崇明,5895,1
堡镇,40,1
崇明其它,56,1
崇明新城,163,1
横沙岛,0,1
长兴岛,1,1
陈家镇,19,1
城桥,31,1
金山新城,6919,1
石化,5747,1
亭林,1034,1
朱泾,2777,1
枫泾,1156,1
金山其他,2017,1
吕巷,4,1
山阳,66,1
廊下,0,1
张堰,106,1
漕泾,0,1
金山,0,1
金山卫镇,0,1
金山工业区,0,1
南九亭,2179,1
松江新城,3948,1
泗泾,8240,1
佘山,2699,1
松江老城,5324,1
新桥,2426,1
莘闵,2307,1
松江大学城,2970,1
松江其他,801,1
小昆山,254,1
北九亭,1945,1
叶榭,1,1
车墩,5,1
洞泾,0,1
泖港,4,1
茸北,0,1
松江工业区,0,1
新浜,0,1
岳阳,0,1
碧云,1365,1
曹路,5328,1
川沙,10393,1
高行,4862,1
航头,7549,1
惠南,10445,1
金桥,11578,1
联洋,1932,1
临港新城,8952,1
三林,13461,1
世纪公园,1486,1
塘桥,3089,1
唐镇,2037,1
新场,7,1
源深,2311,1
张江,3475,1
北蔡,7331,1
祝桥,1,1
外高桥,1102,1
花木,191,1
陆家嘴,2627,1
金杨,7094,1
康桥,4101,1
南码头,4776,1
潍坊,4218,1
杨东,1173,1
洋泾,4753,1
周浦,4335,1
大团镇,0,1
合庆,9,1
八佰伴,0,1
东明路,0,1
江镇,0,1
芦潮港,0,1
老港镇,0,1
南汇,0,1
三灶镇,0,1
书院镇,0,1
王港,0,1
万祥镇,1,1
宣桥镇,0,1
上南,2651,1
周家渡,0,1
高桥,6047,1
梅园,2607,1
竹园,0,1
御桥,3168,1
川沙,381,1
浦江镇,355,1
惠南,247,1
三林,435,1
彭浦,523,1
金桥,420,1
彭浦,523,1
浦江镇,355,1
三林,435,1
惠南,247,1
川沙,381,1
金桥,420,1
三林,435,1
彭浦,523,1
浦江镇,355,1
惠南,247,1
川沙,381,1
三林,435,1
川沙,381,1
惠南,247,1
浦江镇,355,1
金桥,420,1
彭浦,523,1
惠南,726,1
浦江镇,870,1
彭浦,579,1
三林,1142,1
川沙,1057,1
金桥,980,1
浦江镇,144,1
惠南,233,1
浦江镇,19,1
彭浦,48,1
浦江镇,7,1
彭浦,3,1
彭浦,3,1
惠南,20,1
惠南,5,1
金桥,202,1
川沙,398,1
三林,312,1
金桥,23,1
金桥,6,1
三林,30,1
川沙,25,1
三林,4,1
川沙,7,1
